File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
cloudinit/config/schema.py,60,461,762,761,-1,401,702,300,-402,
cloudinit/distros/__init__.py,168,541,692,692,0,373,524,151,-373,
cloudinit/distros/alpine.py,46,99,134,134,0,53,88,35,-53,
cloudinit/distros/amazon.py,1,1,6,6,0,0,5,5,0,
cloudinit/distros/arch.py,46,116,149,149,0,70,103,33,-70,
cloudinit/distros/bsd.py,44,62,95,95,0,18,51,33,-18,
cloudinit/distros/bsd_utils.py,0,25,30,30,0,25,30,5,-25,
cloudinit/distros/centos.py,0,0,3,3,0,0,3,3,0,
cloudinit/distros/debian.py,29,94,129,129,0,65,100,35,-65,
cloudinit/distros/freebsd.py,43,75,113,113,0,32,70,38,-32,
cloudinit/distros/mariner.py,1,1,21,21,0,0,20,20,0,
cloudinit/distros/net_util.py,19,88,90,90,0,69,71,2,-69,
cloudinit/distros/netbsd.py,58,67,93,93,0,9,35,26,-9,
cloudinit/distros/networking.py,33,78,142,142,0,45,109,64,-45,
cloudinit/distros/opensuse.py,35,111,154,154,0,76,119,43,-76,
cloudinit/distros/package_management/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/distros/package_management/apt.py,21,73,100,100,0,52,79,27,-52,
cloudinit/distros/package_management/package_manager.py,1,3,16,16,0,2,15,13,-2,
cloudinit/distros/package_management/snap.py,2,11,22,22,0,9,20,11,-9,
cloudinit/distros/package_management/utils.py,0,0,5,5,0,0,5,5,0,
cloudinit/distros/parsers/__init__.py,0,8,9,9,0,8,9,1,-8,
cloudinit/distros/parsers/hostname.py,3,49,59,59,0,46,56,10,-46,
cloudinit/distros/parsers/hosts.py,3,50,60,60,0,47,57,10,-47,
cloudinit/distros/parsers/ifconfig.py,16,143,173,173,0,127,157,30,-127,
cloudinit/distros/parsers/networkmanager_conf.py,0,4,8,8,0,4,8,4,-4,
cloudinit/distros/parsers/resolv_conf.py,8,102,124,124,0,94,116,22,-94,
cloudinit/distros/parsers/sys_conf.py,6,34,46,46,0,28,40,12,-28,
cloudinit/distros/photon.py,17,56,85,85,0,39,68,29,-39,
cloudinit/distros/rhel.py,41,79,111,111,0,38,70,32,-38,
cloudinit/distros/rhel_util.py,4,24,30,30,0,20,26,6,-20,
cloudinit/distros/ubuntu.py,2,10,19,19,0,8,17,9,-8,
cloudinit/distros/ug_util.py,16,121,128,128,0,105,112,7,-105,
cloudinit/dmi.py,17,88,106,106,0,71,89,18,-71,
cloudinit/event.py,0,16,31,30,-1,16,31,14,-17,
cloudinit/features.py,0,1,18,17,-1,1,18,16,-2,
cloudinit/filters/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/filters/launch_index.py,0,29,39,39,0,29,39,10,-29,
cloudinit/gpg.py,15,51,63,62,-1,36,48,11,-37,
cloudinit/handlers/__init__.py,22,115,147,147,0,93,125,32,-93,
cloudinit/handlers/boot_hook.py,4,21,31,31,0,17,27,10,-17,
cloudinit/handlers/cloud_config.py,8,74,93,93,0,66,85,19,-66,
cloudinit/handlers/jinja_template.py,8,79,108,108,0,71,100,29,-71,
cloudinit/handlers/shell_script.py,0,10,17,17,0,10,17,7,-10,
cloudinit/handlers/shell_script_by_frequency.py,9,21,34,34,0,12,25,13,-12,
cloudinit/helpers.py,60,200,289,289,0,140,229,89,-140,
cloudinit/importer.py,0,15,42,42,0,15,42,27,-15,
cloudinit/log.py,26,58,108,108,0,32,82,50,-32,
cloudinit/mergers/__init__.py,19,65,94,94,0,46,75,29,-46,
cloudinit/net/__init__.py,109,563,648,648,0,454,539,85,-454,
cloudinit/net/activators.py,14,71,144,144,0,57,130,73,-57,
cloudinit/net/bsd.py,28,105,131,131,0,77,103,26,-77,
cloudinit/net/cmdline.py,12,113,143,143,0,101,131,30,-101,
cloudinit/net/dhcp.py,17,219,276,276,0,202,259,57,-202,
cloudinit/net/eni.py,60,297,324,324,0,237,264,27,-237,
cloudinit/net/ephemeral.py,6,131,163,162,-1,125,157,31,-126,
cloudinit/net/freebsd.py,8,39,50,50,0,31,42,11,-31,
cloudinit/net/netbsd.py,19,20,30,30,0,1,11,10,-1,
cloudinit/net/netops/__init__.py,8,8,26,26,0,0,18,18,0,
cloudinit/net/netops/bsd_netops.py,11,11,31,31,0,0,20,20,0,
cloudinit/net/netops/iproute2.py,0,8,28,28,0,8,28,20,-8,
cloudinit/net/netplan.py,12,253,281,281,0,241,269,28,-241,
cloudinit/net/network_manager.py,8,190,237,237,0,182,229,47,-182,
cloudinit/net/network_state.py,50,425,513,513,0,375,463,88,-375,
cloudinit/net/networkd.py,10,175,200,200,0,165,190,25,-165,
cloudinit/net/openbsd.py,33,34,44,44,0,1,11,10,-1,
cloudinit/net/renderer.py,1,8,23,23,0,7,22,15,-7,
cloudinit/net/renderers.py,4,24,30,30,0,20,26,6,-20,
cloudinit/net/sysconfig.py,53,489,576,576,0,436,523,87,-436,
cloudinit/net/udev.py,0,10,14,14,0,10,14,4,-10,
cloudinit/netinfo.py,85,340,362,362,0,255,277,22,-255,
cloudinit/persistence.py,0,6,11,11,0,6,11,5,-6,
cloudinit/registry.py,1,3,18,18,0,2,17,15,-2,
cloudinit/reporting/__init__.py,0,4,20,19,-1,4,20,15,-5,
cloudinit/reporting/events.py,3,74,133,132,-1,71,130,58,-72,
cloudinit/reporting/handlers.py,19,155,226,226,0,136,207,71,-136,
cloudinit/safeyaml.py,2,91,118,118,0,89,116,27,-89,
cloudinit/settings.py,0,0,9,9,0,0,9,9,0,
